,date_pt,hour_pt,time_pt,var,value,site,vartype
0,2013-04-19,0,2013-04-19 00:00:00,GPM,0.0,stream,Flow (GPM)
1,2013-04-19,1,2013-04-19 01:00:00,GPM,0.0,stream,Flow (GPM)
2,2013-04-19,2,2013-04-19 02:00:00,GPM,0.0,stream,Flow (GPM)
3,2013-04-19,3,2013-04-19 03:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
4,2013-04-19,4,2013-04-19 04:00:00,GPM,0.0,stream,Flow (GPM)
5,2013-04-19,5,2013-04-19 05:00:00,GPM,0.0,stream,Flow (GPM)
6,2013-04-19,6,2013-04-19 06:00:00,GPM,0.0,stream,Flow (GPM)
7,2013-04-19,7,2013-04-19 07:00:00,GPM,1.0,stream,Flow (GPM)
8,2013-04-19,8,2013-04-19 08:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
9,2013-04-19,9,2013-04-19 09:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
10,2013-04-19,10,2013-04-19 10:00:00,GPM,0.0,stream,Flow (GPM)
11,2013-04-19,11,2013-04-19 11:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
12,2013-04-19,12,2013-04-19 12:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
13,2013-04-19,13,2013-04-19 13:00:00,GPM,0.0,stream,Flow (GPM)
14,2013-04-19,14,2013-04-19 14:00:00,GPM,0.0,stream,Flow (GPM)
15,2013-04-19,15,2013-04-19 15:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
16,2013-04-19,16,2013-04-19 16:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
17,2013-04-19,17,2013-04-18 17:00:00,GPM,0.0,stream,Flow (GPM)
18,2013-04-19,18,2013-04-18 18:00:00,GPM,0.0,stream,Flow (GPM)
19,2013-04-19,19,2013-04-18 19:00:00,GPM,0.0,stream,Flow (GPM)
20,2013-04-19,20,2013-04-18 20:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
21,2013-04-19,21,2013-04-18 21:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
22,2013-04-19,22,2013-04-18 22:00:00,GPM,0.5,stream,Flow (GPM)
23,2013-04-19,23,2013-04-18 23:00:00,GPM,0.0,stream,Flow (GPM)
24,2013-04-20,0,2013-04-20 00:00:00,GPM,0.0,stream,Flow (GPM)
25,2013-04-20,1,2013-04-20 01:00:00,GPM,0.0,stream,Flow (GPM)
26,2013-04-20,2,2013-04-20 02:00:00,GPM,0.0,stream,Flow (GPM)
27,2013-04-20,3,2013-04-20 03:00:00,GPM,0.0,stream,Flow (GPM)
28,2013-04-20,4,2013-04-20 04:00:00,GPM,0.0,stream,Flow (GPM)
29,2013-04-20,5,2013-04-20 05:00:00,GPM,0.0,stream,Flow (GPM)
30,2013-04-20,6,2013-04-20 06:00:00,GPM,0.0,stream,Flow (GPM)
31,2013-04-20,7,2013-04-20 07:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
32,2013-04-20,8,2013-04-20 08:00:00,GPM,0.0,stream,Flow (GPM)
33,2013-04-20,9,2013-04-20 09:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
34,2013-04-20,10,2013-04-20 10:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
35,2013-04-20,11,2013-04-20 11:00:00,GPM,0.5,stream,Flow (GPM)
36,2013-04-20,12,2013-04-20 12:00:00,GPM,0.8333333333333334,stream,Flow (GPM)
37,2013-04-20,13,2013-04-20 13:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
38,2013-04-20,14,2013-04-20 14:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
39,2013-04-20,15,2013-04-20 15:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
40,2013-04-20,16,2013-04-20 16:00:00,GPM,0.3333333333333333,stream,Flow (GPM)
41,2013-04-20,17,2013-04-19 17:00:00,GPM,0.0,stream,Flow (GPM)
42,2013-04-20,18,2013-04-19 18:00:00,GPM,0.0,stream,Flow (GPM)
43,2013-04-20,19,2013-04-19 19:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
44,2013-04-20,20,2013-04-19 20:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
45,2013-04-20,21,2013-04-19 21:00:00,GPM,0.16666666666666666,stream,Flow (GPM)
46,2013-04-20,22,2013-04-19 22:00:00,GPM,0.0,stream,Flow (GPM)
