,dates,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2019-10-22,8359.648000000001,24,2103.3759999999997,8,0.25161059413027914,block11
1,2019-10-23,8314.768,24,2334.5080000000003,8,0.2807664627563872,block11
2,2019-10-24,8732.152,24,2451.1960000000004,8,0.2807092684598253,block11
3,2019-10-25,8100.092,24,2496.824,8,0.3082463754732663,block11
4,2019-10-26,9078.476,24,1970.2319999999997,11,0.21702232841723648,block11
5,2019-10-29,8702.232,24,2380.884,8,0.27359463641052084,block11
6,2019-10-30,8989.464,24,2366.6720000000005,8,0.26327175902812455,block11
7,2019-10-31,9117.372,24,2463.164,8,0.2701616211338092,block11
8,2019-11-01,8841.36,24,2328.5240000000003,8,0.2633671742808799,block11
9,2019-11-02,9163.748,24,2335.256,10,0.25483633989062116,block11
10,2019-11-05,9414.328000000001,24,2433.9919999999997,8,0.2585412362942952,block11
11,2019-11-06,9897.536,24,2694.296,8,0.27221886336154777,block11
12,2019-11-07,8518.224000000002,24,2522.2560000000003,8,0.2961011591148577,block11
13,2019-11-08,8670.815999999999,24,2734.688,8,0.31538992408557626,block11
14,2019-11-09,9257.247999999998,24,2247.74,10,0.24280866192630904,block11
15,2019-11-12,8916.908000000001,24,2361.436,8,0.26482677627715795,block11
16,2019-11-13,9201.896,24,2385.372,8,0.2592261420907169,block11
17,2019-11-14,8973.756000000001,24,2330.02,8,0.25964824539468195,block11
18,2019-11-15,8701.484000000002,24,2813.9759999999997,8,0.32339035502449914,block11
19,2019-11-16,8889.98,24,2141.5240000000003,12,0.24089188052166596,block11
20,2019-11-19,9337.284000000003,24,2618.7479999999996,8,0.28046142754145625,block11
21,2019-11-20,9224.336000000001,24,2606.032,8,0.2825170288679857,block11
22,2019-11-21,9094.183999999997,24,2666.62,8,0.29322256950156284,block11
23,2019-11-22,9087.452,24,2715.2400000000002,8,0.2987900238702775,block11
24,2019-11-23,9299.136,24,2244.748,11,0.24139317889317888,block11
25,2019-11-26,8539.168,24,2378.64,8,0.27855641205325854,block11
26,2019-11-27,8076.904,24,2220.064,8,0.2748657158733098,block11
27,2019-11-29,6864.395999999999,24,1362.856,12,0.19853982783044571,block11
28,2019-11-30,7920.572000000002,24,1917.124,11,0.24204363018226455,block11
29,2019-12-03,9492.868,24,2543.2000000000003,8,0.26790639035536995,block11
30,2019-12-04,9237.800000000001,24,2547.688,8,0.27578947368421053,block11
31,2019-12-05,9673.884,24,2413.7960000000003,8,0.2495167401221681,block11
32,2019-12-06,8872.776,24,2684.5719999999997,8,0.30256280559770693,block11
33,2019-12-07,9356.732,24,2268.6839999999997,12,0.24246542489407624,block11
34,2019-12-10,9193.667999999998,24,2512.532,8,0.27328939874705077,block11
35,2019-12-11,9088.948,24,2591.82,8,0.2851617150851782,block11
36,2019-12-12,8063.4400000000005,24,2156.484,8,0.26743970315398885,block11
37,2019-12-13,8673.060000000001,24,2368.9159999999997,8,0.273134971970677,block11
38,2019-12-14,8616.96,24,1772.0120000000002,12,0.20564236111111117,block11
39,2019-12-17,9098.672000000002,24,2469.148,8,0.2713745478461032,block11
40,2019-12-18,8606.488,24,2556.6639999999998,8,0.29706240222492614,block11
41,2019-12-19,8542.16,24,2249.236,8,0.26330998248686516,block11
42,2019-12-20,7683.456000000002,24,2047.2759999999998,8,0.2664524922118379,block11
43,2019-12-21,8185.364,24,1702.448,11,0.20798684090286032,block11
44,2019-12-24,6001.204000000001,24,1273.844,9,0.21226473887573225,block11
45,2019-12-26,6572.676000000001,24,1300.772,20,0.1979059974963013,block11
46,2019-12-27,6767.904,24,1368.84,19,0.20225464190981432,block11
47,2019-12-28,7155.368,24,1467.576,10,0.20510140079448047,block11
48,2019-12-31,8405.276000000002,24,1730.124,8,0.2058378570792916,block11
49,2020-01-02,8349.176,24,1981.452,8,0.23732306038344386,block11
50,2020-01-03,7696.172000000001,24,1795.2,8,0.23325882009913496,block11
51,2020-01-04,9916.983999999999,24,2588.828,11,0.261049932116458,block11
52,2020-01-07,8750.104000000003,24,2336.752,8,0.26705419729868346,block11
53,2020-01-08,9311.852,24,2210.34,20,0.23736846333038794,block11
54,2020-01-09,9620.776,24,2380.884,8,0.2474731767998756,block11
55,2020-01-10,9165.243999999999,24,2441.472,8,0.2663837427568759,block11
56,2020-01-11,10403.935,24,2285.888,10,0.21971379098389215,block11
57,2020-01-14,10089.771999999999,24,2417.5359999999996,8,0.23960263918748612,block11
58,2020-01-15,10532.588,24,2553.672,21,0.24245437113841345,block11
59,2020-01-16,10197.484000000002,24,2573.12,8,0.25232890779725664,block11
60,2020-01-17,9168.984,24,2650.164,8,0.2890357317670093,block11
61,2020-01-18,9703.056,24,2032.3159999999998,12,0.20945112550107922,block11
62,2020-01-21,9780.848000000002,24,2437.732,21,0.24923524013459772,block11
63,2020-01-22,8973.008,24,2383.876,21,0.26567189063021013,block11
64,2020-01-23,9485.387999999999,24,2365.924,8,0.24942827852693003,block11
65,2020-01-24,8530.94,24,2392.1040000000003,8,0.28040333187198596,block11
66,2020-01-25,9912.496,24,2243.2520000000004,12,0.22630546332629042,block11
67,2020-01-28,9228.824000000002,24,2401.828,8,0.2602528772896741,block11
68,2020-01-29,9263.106999999998,24,2414.5440000000003,8,0.2606624321623404,block11
69,2020-01-30,9249.767999999998,24,2291.8720000000003,8,0.24777616043991596,block11
70,2020-01-31,8902.696000000002,24,2307.5800000000004,8,0.259200134431188,block11
71,2020-02-01,9081.468,24,1976.964,11,0.21769211761798862,block11
72,2020-02-04,9893.856,24,2511.784,8,0.2538731107467099,block11
73,2020-02-05,9474.168,24,2397.34,8,0.25303963366492976,block11
74,2020-02-06,10067.331999999999,24,2496.8239999999996,8,0.2480124823538153,block11
75,2020-02-07,9768.132,24,2631.464,8,0.2693927559537484,block11
76,2020-02-08,10133.903999999999,24,2602.292,10,0.25679067020962504,block11
77,2020-02-11,9691.087999999998,24,2729.4519999999998,8,0.28164556962025317,block11
78,2020-02-12,10074.064,24,2581.348,21,0.25623700623700624,block11
79,2020-02-13,10121.936,24,2607.5280000000002,8,0.2576115873485073,block11
80,2020-02-14,10069.576000000001,24,2427.2599999999998,8,0.24104887832417168,block11
81,2020-02-15,9950.627,24,2269.415,11,0.22806753785464975,block11
82,2020-02-18,10156.344000000001,24,2552.176,20,0.25128884960966263,block11
83,2020-02-19,10150.359999999999,24,2471.392,21,0.24347826086956523,block11
84,2020-02-20,10002.256000000001,24,2574.616,8,0.2574035297636853,block11
85,2020-02-21,9207.661000000002,24,2708.5080000000003,8,0.2941580929184947,block11
86,2020-02-22,10230.223999999997,24,2232.6079999999997,12,0.21823647263246634,block11
87,2020-02-25,10181.028,24,2712.996,8,0.2664756446991404,block11
88,2020-02-26,9916.892,24,2544.6960000000004,8,0.25660216930869073,block11
89,2020-02-27,10854.050000000001,24,2534.9719999999998,8,0.23355079440393217,block11
90,2020-02-28,9593.268,24,2728.704,8,0.28443946317355046,block11
91,2020-02-29,10490.700000000003,24,2270.1800000000003,10,0.21639928698752223,block11
92,2020-03-03,10234.884,24,2382.38,21,0.2327705912446101,block11
93,2020-03-04,10683.684,24,2448.2039999999997,8,0.22915353917244274,block11
94,2020-03-05,10478.732000000004,24,2294.864,20,0.2190020700977942,block11
95,2020-03-06,10681.44,24,2125.8160000000003,19,0.19901960784313727,block11
96,2020-03-07,11230.472000000002,24,2555.9159999999997,11,0.2275875849207406,block11
97,2020-03-10,10292.480000000001,24,2489.344,21,0.241860465116279,block11
98,2020-03-11,10521.368,24,2039.048,19,0.19380065405943409,block11
99,2020-03-12,10715.848,24,2130.304,20,0.19879938573223513,block11
100,2020-03-13,9684.355999999998,24,1926.8480000000002,18,0.19896501119950571,block11
101,2020-03-14,11268.619999999999,24,2188.6479999999997,12,0.19422502489213408,block11
102,2020-03-17,10694.904,24,2420.5280000000002,20,0.2263253601902364,block11
103,2020-03-18,10678.448000000002,24,2378.6400000000003,20,0.2227514710002802,block11
104,2020-03-19,10784.626,24,2309.076,21,0.2141081202074138,block11
105,2020-03-20,10663.488000000001,24,2294.864,20,0.21520763187429853,block11
106,2020-03-21,11259.644,24,2469.896,19,0.2193582674549924,block11
107,2020-03-24,10386.874999999998,24,2441.619,19,0.23506771767254353,block11
108,2020-03-25,10601.223999999998,24,2259.708,21,0.21315538658554903,block11
