,dates,value,Hour,WeekDay,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2019-03-20,1306.094632768362,276,96,24,165.6566440677964,9,0.13211830131445884,ejames
1,2019-03-21,1230.3041666666672,276,120,24,97.19324999999989,7,0.08229100696643432,ejames
2,2019-03-22,1417.304166666667,276,144,24,106.91725000000015,10,0.07858026388125353,ejames
3,2019-03-23,1189.7874999999995,276,168,24,118.3709999999996,10,0.10363457760314312,ejames
4,2019-03-26,1305.8833333333325,276,72,24,172.2269999999998,10,0.1373806682577565,ejames
5,2019-03-27,1208.4874999999997,276,96,24,49.414750000000204,8,0.042593488072211666,ejames
6,2019-03-28,1400.9416666666664,276,120,24,119.4929999999995,9,0.08884872080088951,ejames
7,2019-03-29,1660.4041666666662,276,144,24,82.74750000000041,18,0.0519122477709998,ejames
8,2019-03-30,1585.6041666666663,276,168,24,124.12125000000009,9,0.08154176904176913,ejames
9,2019-04-02,1248.225,276,72,24,41.79449999999999,13,0.03487827715355804,ejames
10,2019-04-03,1199.9166666666663,276,96,24,195.9759999999999,9,0.1701298701298701,ejames
11,2019-04-04,1256.016666666667,276,120,24,107.33800000000014,9,0.08901985111662537,ejames
12,2019-04-05,1475.741666666666,276,144,24,124.26149999999993,8,0.08771119324181623,ejames
13,2019-04-06,1383.0208333333328,276,168,24,104.20574999999974,9,0.07848591549295758,ejames
14,2019-04-09,2195.679166666667,276,72,24,79.19525000000003,20,0.037571542024772156,ejames
15,2019-04-10,1104.845833333333,276,96,24,115.56899999999986,8,0.10896033760366254,ejames
16,2019-04-11,1314.4541666666664,276,120,24,45.39424999999983,18,0.03597362181387065,ejames
17,2019-04-12,1193.6833333333338,276,144,24,96.49199999999976,8,0.08420365535248019,ejames
18,2019-04-13,1313.6750000000006,276,168,24,80.97100000000043,9,0.06420521945433008,ejames
19,2019-04-16,1206.9427083333333,276,72,24,53.475500000000046,8,0.04615268433930433,ejames
20,2019-04-17,1210.0468749999998,276,96,24,137.3511250000003,8,0.1182384678623851,ejames
21,2019-04-18,1249.7968750000007,276,120,24,70.49656250000007,7,0.05875668337771556,ejames
22,2019-04-19,1295.7541666666668,276,144,24,75.82849999999968,10,0.060959110042092333,ejames
23,2019-04-20,1102.5208333333333,276,168,24,126.27175000000037,12,0.1193021201413431,ejames
24,2019-04-23,1251.3416666666667,276,72,24,87.32900000000035,8,0.07269613947696169,ejames
