,dates,value,Hour,WeekDay,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2019-03-20,1253.8508474576274,276,96,24,397.93599999999964,9,0.3173710819009096,ejames
1,2019-03-21,1181.0920000000006,276,120,24,318.648,8,0.2697910069664344,ejames
2,2019-03-22,1360.6120000000003,276,144,24,362.0320000000002,11,0.2660802638812535,ejames
3,2019-03-23,1142.1959999999995,276,168,24,314.1599999999994,11,0.27504911591355563,ejames
4,2019-03-26,1253.6479999999992,276,72,24,385.2199999999998,11,0.30727923627684967,ejames
5,2019-03-27,1160.1479999999997,276,96,24,242.352,15,0.20889748549323023,ejames
6,2019-03-28,1344.9039999999998,276,120,24,356.7959999999995,10,0.2652947719688539,ejames
7,2019-03-29,1593.9879999999996,276,144,24,338.8440000000004,18,0.21257625527921192,ejames
8,2019-03-30,1522.1799999999996,276,168,24,379.9840000000002,14,0.24963144963144981,ejames
9,2019-04-02,1198.296,276,72,24,257.3120000000004,13,0.21473158551810267,ejames
10,2019-04-03,1151.9199999999996,276,96,24,394.94399999999996,10,0.34285714285714297,ejames
11,2019-04-04,1205.7760000000005,276,120,24,326.8760000000004,10,0.27109181141439226,ejames
12,2019-04-05,1416.7119999999995,276,144,24,357.5440000000002,9,0.2523759239704332,ejames
13,2019-04-06,1327.6999999999996,276,168,24,351.55999999999983,12,0.2647887323943661,ejames
14,2019-04-09,2107.852,276,72,24,471.98800000000017,13,0.2239189468710328,ejames
15,2019-04-10,1060.6519999999998,276,96,24,289.476,10,0.27292269283421905,ejames
16,2019-04-11,1261.8759999999997,276,120,24,281.99599999999975,19,0.22347362181387062,ejames
17,2019-04-12,1145.9360000000004,276,144,24,304.4359999999998,9,0.26566579634464726,ejames
18,2019-04-13,1261.1280000000006,276,168,24,276.01200000000057,11,0.2188612099644132,ejames
19,2019-04-16,1158.665,276,72,24,251.32800000000003,13,0.21691170441844712,ejames
20,2019-04-17,1161.6449999999998,276,96,24,332.112,10,0.28589801531448944,ejames
21,2019-04-18,1199.8050000000007,276,120,24,295.4600000000002,8,0.24625668337771556,ejames
22,2019-04-19,1243.9240000000002,276,144,24,289.476,11,0.23271196632591698,ejames
23,2019-04-20,1058.42,276,168,24,307.428,14,0.29045936395759714,ejames
24,2019-04-23,1201.288,276,72,24,291.72,13,0.2428393524283935,ejames
25,2019-04-24,1106.2919999999995,276,96,24,222.156,12,0.2008113590263693,ejames
26,2019-04-25,1196.8000000000009,276,120,24,341.0880000000006,9,0.2850000000000003,ejames
27,2019-04-26,1314.984000000001,276,144,24,313.4119999999998,9,0.2383390216154718,ejames
28,2019-04-27,1184.8329999999999,276,168,24,298.452,10,0.251893726795253,ejames
29,2019-04-30,1428.6800000000005,276,72,24,370.26,9,0.2591623036649214,ejames
30,2019-05-01,1375.572,276,96,24,311.16800000000035,12,0.22620989668298017,ejames
31,2019-05-02,1157.9179999999994,276,120,24,237.11599999999981,17,0.20477788582611198,ejames
32,2019-05-03,1258.1360000000004,276,144,24,313.4120000000004,8,0.24910820451843066,ejames
33,2019-05-04,1233.452,276,168,24,315.65599999999984,9,0.2559126743480896,ejames
34,2019-05-07,1195.3039999999999,276,72,24,360.5360000000004,9,0.30162703379224065,ejames
35,2019-05-08,1226.733000000001,276,96,24,243.1130000000004,19,0.19817922889495934,ejames
36,2019-05-09,1159.3999999999999,276,120,24,328.3720000000002,9,0.2832258064516131,ejames
