,variable,Date,Hour,value,units,site,dates,WeekDay,WeekPart,time stamp
0,Total.Flow,8/10/2016,0,0,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 0:00
1,Total.Flow,8/10/2016,1,0,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 1:00
2,Total.Flow,8/10/2016,2,0.012683333,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 2:00
3,Total.Flow,8/10/2016,3,0.124683333,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 3:00
4,Total.Flow,8/10/2016,4,0.037416667,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 4:00
5,Total.Flow,8/10/2016,5,0.112016667,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 5:00
6,Total.Flow,8/10/2016,6,0.062333333,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 6:00
7,Total.Flow,8/10/2016,7,0.3113,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 7:00
8,Total.Flow,8/10/2016,8,0.4863,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 8:00
9,Total.Flow,8/10/2016,9,0.174366667,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 9:00
10,Total.Flow,8/10/2016,10,0.212383333,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 10:00
11,Total.Flow,8/10/2016,11,0.162333333,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 11:00
12,Total.Flow,8/10/2016,12,0.099533333,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 12:00
13,Total.Flow,8/10/2016,13,0.137166667,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 13:00
14,Total.Flow,8/10/2016,14,0.024933333,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 14:00
15,Total.Flow,8/10/2016,15,0.087283333,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 15:00
16,Total.Flow,8/10/2016,16,0.186216667,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 16:00
17,Total.Flow,8/10/2016,17,0.1494,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 17:00
18,Total.Flow,8/10/2016,18,0.1004,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 18:00
19,Total.Flow,8/10/2016,19,0.224666667,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 19:00
20,Total.Flow,8/10/2016,20,0.186616667,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 20:00
21,Total.Flow,8/10/2016,21,0.1378,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 21:00
22,Total.Flow,8/10/2016,22,0.086683333,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 22:00
23,Total.Flow,8/10/2016,23,0,GPM,BuildingA,8/10/2016,4,Weekday,8/10/2016 23:00
24,Total.Flow,8/11/2016,0,0.037616667,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 0:00
25,Total.Flow,8/11/2016,1,0,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 1:00
26,Total.Flow,8/11/2016,2,0,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 2:00
27,Total.Flow,8/11/2016,3,0.149033333,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 3:00
28,Total.Flow,8/11/2016,4,0.012683333,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 4:00
29,Total.Flow,8/11/2016,5,0,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 5:00
30,Total.Flow,8/11/2016,6,0.298183333,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 6:00
31,Total.Flow,8/11/2016,7,0.137366667,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 7:00
32,Total.Flow,8/11/2016,8,0.224666667,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 8:00
33,Total.Flow,8/11/2016,9,0.534666667,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 9:00
34,Total.Flow,8/11/2016,10,0.086866667,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 10:00
35,Total.Flow,8/11/2016,11,0.323983333,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 11:00
36,Total.Flow,8/11/2016,12,0.1245,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 12:00
37,Total.Flow,8/11/2016,13,0.074616667,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 13:00
38,Total.Flow,8/11/2016,14,0.06255,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 14:00
39,Total.Flow,8/11/2016,15,0.012466667,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 15:00
40,Total.Flow,8/11/2016,16,0.212183333,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 16:00
41,Total.Flow,8/11/2016,17,0.173333333,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 17:00
42,Total.Flow,8/11/2016,18,0.213016667,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 18:00
43,Total.Flow,8/11/2016,19,0.19995,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 19:00
44,Total.Flow,8/11/2016,20,0.224466667,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 20:00
45,Total.Flow,8/11/2016,21,0.149633333,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 21:00
46,Total.Flow,8/11/2016,22,0.06255,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 22:00
47,Total.Flow,8/11/2016,23,0.124283333,GPM,BuildingA,8/11/2016,5,Weekday,8/11/2016 23:00
48,Total.Flow,8/12/2016,0,0,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 0:00
49,Total.Flow,8/12/2016,1,0,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 1:00
50,Total.Flow,8/12/2016,2,0,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 2:00
51,Total.Flow,8/12/2016,3,0.150266667,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 3:00
52,Total.Flow,8/12/2016,4,0.012683333,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 4:00
53,Total.Flow,8/12/2016,5,0.099983333,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 5:00
54,Total.Flow,8/12/2016,6,0.199083333,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 6:00
55,Total.Flow,8/12/2016,7,0.2745,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 7:00
56,Total.Flow,8/12/2016,8,0.087083333,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 8:00
57,Total.Flow,8/12/2016,9,0.161883333,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 9:00
58,Total.Flow,8/12/2016,10,0.212383333,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 10:00
59,Total.Flow,8/12/2016,11,0.212166667,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 11:00
60,Total.Flow,8/12/2016,12,0.06235,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 12:00
61,Total.Flow,8/12/2016,13,0.2373,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 13:00
62,Total.Flow,8/12/2016,14,0.185783333,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 14:00
63,Total.Flow,8/12/2016,15,0.13655,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 15:00
64,Total.Flow,8/12/2016,16,0.162966667,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 16:00
65,Total.Flow,8/12/2016,17,0.26225,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 17:00
66,Total.Flow,8/12/2016,18,0.02515,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 18:00
67,Total.Flow,8/12/2016,19,0.075233333,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 19:00
68,Total.Flow,8/12/2016,20,0.111833333,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 20:00
69,Total.Flow,8/12/2016,21,0.17455,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 21:00
70,Total.Flow,8/12/2016,22,0.037416667,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 22:00
71,Total.Flow,8/12/2016,23,0.012466667,GPM,BuildingA,8/12/2016,6,Weekend,8/12/2016 23:00
72,Total.Flow,8/13/2016,0,0.012466667,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 0:00
73,Total.Flow,8/13/2016,1,0.012683333,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 1:00
74,Total.Flow,8/13/2016,2,0.036983333,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 2:00
75,Total.Flow,8/13/2016,3,0,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 3:00
76,Total.Flow,8/13/2016,4,0,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 4:00
77,Total.Flow,8/13/2016,5,0,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 5:00
78,Total.Flow,8/13/2016,6,0.174166667,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 6:00
79,Total.Flow,8/13/2016,7,0.161883333,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 7:00
80,Total.Flow,8/13/2016,8,0.761233333,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 8:00
81,Total.Flow,8/13/2016,9,0.335616667,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 9:00
82,Total.Flow,8/13/2016,10,0.21175,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 10:00
83,Total.Flow,8/13/2016,11,0.1374,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 11:00
84,Total.Flow,8/13/2016,12,0.1486,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 12:00
85,Total.Flow,8/13/2016,13,0.062333333,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 13:00
86,Total.Flow,8/13/2016,14,0.037616667,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 14:00
87,Total.Flow,8/13/2016,15,0.37405,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 15:00
88,Total.Flow,8/13/2016,16,0.2614,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 16:00
89,Total.Flow,8/13/2016,17,0.06255,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 17:00
90,Total.Flow,8/13/2016,18,0.149433333,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 18:00
91,Total.Flow,8/13/2016,19,0.087716667,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 19:00
92,Total.Flow,8/13/2016,20,0.2126,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 20:00
93,Total.Flow,8/13/2016,21,0.236733333,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 21:00
94,Total.Flow,8/13/2016,22,0.086883333,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 22:00
95,Total.Flow,8/13/2016,23,0.012683333,GPM,BuildingA,8/13/2016,7,Weekend,8/13/2016 23:00
96,Total.Flow,8/14/2016,0,0,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 0:00
97,Total.Flow,8/14/2016,1,0,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 1:00
98,Total.Flow,8/14/2016,2,0,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 2:00
99,Total.Flow,8/14/2016,3,0,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 3:00
100,Total.Flow,8/14/2016,4,0,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 4:00
101,Total.Flow,8/14/2016,5,0.1116,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 5:00
102,Total.Flow,8/14/2016,6,0.29945,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 6:00
103,Total.Flow,8/14/2016,7,0.099966667,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 7:00
104,Total.Flow,8/14/2016,8,0.4854,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 8:00
105,Total.Flow,8/14/2016,9,0.18705,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 9:00
106,Total.Flow,8/14/2016,10,0.524116667,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 10:00
107,Total.Flow,8/14/2016,11,0.061916667,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 11:00
108,Total.Flow,8/14/2016,12,0.0744,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 12:00
109,Total.Flow,8/14/2016,13,0.075016667,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 13:00
110,Total.Flow,8/14/2016,14,0.13675,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 14:00
111,Total.Flow,8/14/2016,15,0.149216667,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 15:00
112,Total.Flow,8/14/2016,16,0.075033333,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 16:00
113,Total.Flow,8/14/2016,17,0.137166667,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 17:00
114,Total.Flow,8/14/2016,18,0.136733333,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 18:00
115,Total.Flow,8/14/2016,19,0.0875,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 19:00
116,Total.Flow,8/14/2016,20,0.4738,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 20:00
117,Total.Flow,8/14/2016,21,0.13655,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 21:00
118,Total.Flow,8/14/2016,22,0.112433333,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 22:00
119,Total.Flow,8/14/2016,23,0.049683333,GPM,BuildingA,8/14/2016,1,Weekday,8/14/2016 23:00
120,Total.Flow,8/15/2016,0,0.012466667,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 0:00
121,Total.Flow,8/15/2016,1,0,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 1:00
122,Total.Flow,8/15/2016,2,0.024733333,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 2:00
123,Total.Flow,8/15/2016,3,0.13685,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 3:00
124,Total.Flow,8/15/2016,4,0.02515,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 4:00
125,Total.Flow,8/15/2016,5,0.1249,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 5:00
126,Total.Flow,8/15/2016,6,0.124683333,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 6:00
127,Total.Flow,8/15/2016,7,0.099766667,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 7:00
128,Total.Flow,8/15/2016,8,0.509316667,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 8:00
129,Total.Flow,8/15/2016,9,0.523883333,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 9:00
130,Total.Flow,8/15/2016,10,0.200566667,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 10:00
131,Total.Flow,8/15/2016,11,0.111833333,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 11:00
132,Total.Flow,8/15/2016,12,0.411266667,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 12:00
133,Total.Flow,8/15/2016,13,0.112416667,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 13:00
134,Total.Flow,8/15/2016,14,0.17435,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 14:00
135,Total.Flow,8/15/2016,15,0.075033333,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 15:00
136,Total.Flow,8/15/2016,16,0.09975,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 16:00
137,Total.Flow,8/15/2016,17,0.399183333,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 17:00
138,Total.Flow,8/15/2016,18,0.100166667,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 18:00
139,Total.Flow,8/15/2016,19,0.1617,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 19:00
140,Total.Flow,8/15/2016,20,0.09915,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 20:00
141,Total.Flow,8/15/2016,21,0.274116667,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 21:00
142,Total.Flow,8/15/2016,22,0.1617,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 22:00
143,Total.Flow,8/15/2016,23,0.02515,GPM,BuildingA,8/15/2016,2,Weekday,8/15/2016 23:00
144,Total.Flow,8/16/2016,0,0.02515,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 0:00
145,Total.Flow,8/16/2016,1,0,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 1:00
146,Total.Flow,8/16/2016,2,0.012466667,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 2:00
147,Total.Flow,8/16/2016,3,0.1494,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 3:00
148,Total.Flow,8/16/2016,4,0.024733333,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 4:00
149,Total.Flow,8/16/2016,5,0,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 5:00
150,Total.Flow,8/16/2016,6,0.260983333,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 6:00
151,Total.Flow,8/16/2016,7,0.1868,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 7:00
152,Total.Flow,8/16/2016,8,0.373233333,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 8:00
153,Total.Flow,8/16/2016,9,0.386333333,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 9:00
154,Total.Flow,8/16/2016,10,0.386533333,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 10:00
155,Total.Flow,8/16/2016,11,0.299016667,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 11:00
156,Total.Flow,8/16/2016,12,0.2375,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 12:00
157,Total.Flow,8/16/2016,13,0.49915,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 13:00
158,Total.Flow,8/16/2016,14,0.137366667,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 14:00
159,Total.Flow,8/16/2016,15,0.211766667,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 15:00
160,Total.Flow,8/16/2016,16,0.099783333,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 16:00
161,Total.Flow,8/16/2016,17,0.175216667,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 17:00
162,Total.Flow,8/16/2016,18,0.0877,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 18:00
163,Total.Flow,8/16/2016,19,0.2743,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 19:00
164,Total.Flow,8/16/2016,20,0.249583333,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 20:00
165,Total.Flow,8/16/2016,21,0.136533333,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 21:00
166,Total.Flow,8/16/2016,22,0.02515,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 22:00
167,Total.Flow,8/16/2016,23,0,GPM,BuildingA,8/16/2016,3,Weekday,8/16/2016 23:00
168,Total.Flow,8/17/2016,0,0,GPM,BuildingA,8/17/2016,4,Weekday,8/17/2016 0:00
169,Total.Flow,8/17/2016,1,0,GPM,BuildingA,8/17/2016,4,Weekday,8/17/2016 1:00
170,Total.Flow,8/17/2016,2,0,GPM,BuildingA,8/17/2016,4,Weekday,8/17/2016 2:00
171,Total.Flow,8/17/2016,3,0.161283333,GPM,BuildingA,8/17/2016,4,Weekday,8/17/2016 3:00
172,Total.Flow,8/17/2016,4,0.0505,GPM,BuildingA,8/17/2016,4,Weekday,8/17/2016 4:00
173,Total.Flow,8/17/2016,5,0.087283333,GPM,BuildingA,8/17/2016,4,Weekday,8/17/2016 5:00
174,Total.Flow,8/17/2016,6,0,GPM,BuildingA,8/17/2016,4,Weekday,8/17/2016 6:00
175,Total.Flow,8/17/2016,7,0.150016667,GPM,BuildingA,8/17/2016,4,Weekday,8/17/2016 7:00
