,variable,Date,Hour,value,units,site,dates,WeekDay,WeekPart,time stamp
6,Total.Flow,8/11/2016,0,0.049866667,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 0:00
7,Total.Flow,8/11/2016,1,0,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 1:00
8,Total.Flow,8/11/2016,2,0,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 2:00
9,Total.Flow,8/11/2016,3,0,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 3:00
10,Total.Flow,8/11/2016,4,0,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 4:00
11,Total.Flow,8/11/2016,5,0.012466667,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 5:00
12,Total.Flow,8/11/2016,6,0.4488,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 6:00
13,Total.Flow,8/11/2016,7,0.5984,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 7:00
14,Total.Flow,8/11/2016,8,0.249333333,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 8:00
15,Total.Flow,8/11/2016,9,0.3366,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 9:00
16,Total.Flow,8/11/2016,10,0.124666667,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 10:00
17,Total.Flow,8/11/2016,11,0.174533333,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 11:00
18,Total.Flow,8/11/2016,12,0.050083333,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 12:00
19,Total.Flow,8/11/2016,13,0.211933333,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 13:00
20,Total.Flow,8/11/2016,14,0.062333333,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 14:00
21,Total.Flow,8/11/2016,15,0.0748,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 15:00
22,Total.Flow,8/11/2016,16,0.2992,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 16:00
23,Total.Flow,8/11/2016,17,0.2618,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 17:00
24,Total.Flow,8/11/2016,18,0.1496,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 18:00
25,Total.Flow,8/11/2016,19,0.236866667,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 19:00
26,Total.Flow,8/11/2016,20,0.311666667,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 20:00
27,Total.Flow,8/11/2016,21,0.436333333,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 21:00
28,Total.Flow,8/11/2016,22,0.1496,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 22:00
29,Total.Flow,8/11/2016,23,0.112416667,GPM,BuildingB,8/11/2016,5,Weekday,8/11/2016 23:00
30,Total.Flow,8/12/2016,0,0,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 0:00
31,Total.Flow,8/12/2016,1,0.012466667,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 1:00
32,Total.Flow,8/12/2016,2,0.012466667,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 2:00
33,Total.Flow,8/12/2016,3,0,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 3:00
34,Total.Flow,8/12/2016,4,0,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 4:00
35,Total.Flow,8/12/2016,5,0.012466667,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 5:00
36,Total.Flow,8/12/2016,6,0.012466667,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 6:00
37,Total.Flow,8/12/2016,7,0.573466667,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 7:00
38,Total.Flow,8/12/2016,8,0.4862,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 8:00
39,Total.Flow,8/12/2016,9,0.511133333,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 9:00
40,Total.Flow,8/12/2016,10,0.648066667,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 10:00
41,Total.Flow,8/12/2016,11,0.324133333,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 11:00
42,Total.Flow,8/12/2016,12,0.162066667,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 12:00
43,Total.Flow,8/12/2016,13,0.2618,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 13:00
44,Total.Flow,8/12/2016,14,0.311666667,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 14:00
45,Total.Flow,8/12/2016,15,0.0748,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 15:00
46,Total.Flow,8/12/2016,16,0.162066667,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 16:00
47,Total.Flow,8/12/2016,17,0.361533333,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 17:00
48,Total.Flow,8/12/2016,18,0.1496,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 18:00
49,Total.Flow,8/12/2016,19,0.324166667,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 19:00
50,Total.Flow,8/12/2016,20,0.162066667,GPM,BuildingB,8/12/2016,6,Weekend,8/12/2016 20:00
