,dates,hour_pt,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2014-01-02,276,1200.0,24,160.0,7,0.13333333333333333,stream
1,2014-01-03,276,1289.9999999999998,24,198.12500000000003,7,0.1535852713178295,stream
2,2014-01-07,276,2380.0,24,315.00000000000006,19,0.13235294117647062,stream
3,2014-01-08,276,2770.0,24,230.62500000000003,7,0.08325812274368233,stream
4,2014-01-09,276,2810.0,24,273.12500000000006,7,0.09719750889679717,stream
5,2014-01-10,276,2770.0,24,250.62500000000003,7,0.09047833935018053,stream
6,2014-01-11,276,2650.0,24,277.50000000000006,9,0.1047169811320755,stream
7,2014-01-14,276,2570.0,24,228.12499999999997,7,0.0887645914396887,stream
8,2014-01-15,276,2540.0,24,303.74999999999994,7,0.11958661417322831,stream
9,2014-01-16,276,2560.0000000000005,24,270.0,7,0.10546874999999999,stream
10,2014-01-17,276,2470.0000000000005,24,366.87499999999994,7,0.14853238866396756,stream
11,2014-01-18,276,3240.0,24,94.99999999999997,10,0.02932098765432098,stream
12,2014-01-23,276,2420.0,24,346.24999999999994,7,0.14307851239669417,stream
13,2014-01-24,276,2680.0000000000005,24,269.99999999999994,7,0.10074626865671639,stream
14,2014-01-25,276,2550.0,24,341.87500000000006,10,0.13406862745098042,stream
15,2014-01-28,276,2450.0,24,410.625,7,0.16760204081632651,stream
16,2014-01-29,276,2410.0000000000005,24,288.12499999999994,7,0.11955394190871364,stream
17,2014-01-30,276,2790.0,24,352.5,6,0.12634408602150538,stream
18,2014-01-31,276,2320.0000000000005,24,304.99999999999994,7,0.13146551724137925,stream
19,2014-02-01,276,3050.0,24,188.12499999999994,12,0.061680327868852435,stream
20,2014-02-04,276,2970.0,24,423.125,7,0.14246632996632996,stream
21,2014-02-05,276,2700.0,24,523.75,7,0.19398148148148148,stream
22,2014-02-06,276,2820.0,24,391.25,7,0.13874113475177305,stream
23,2014-02-07,276,2560.0,24,410.0,7,0.16015625,stream
24,2014-02-08,276,2959.999999999999,24,315.0000000000003,9,0.10641891891891904,stream
25,2014-02-11,276,2610.0,24,247.5,19,0.09482758620689655,stream
26,2014-02-12,276,2499.9999999999995,24,395.00000000000017,6,0.1580000000000001,stream
27,2014-02-13,276,2539.9999999999995,24,365.00000000000006,6,0.14370078740157483,stream
28,2014-02-14,276,2690.0,24,265.625,7,0.09874535315985129,stream
29,2014-02-15,276,2610.0,24,337.5,10,0.12931034482758622,stream
30,2014-02-22,276,2920.0000000000005,24,232.49999999999986,12,0.07962328767123282,stream
31,2014-02-25,276,2770.0000000000005,24,397.49999999999994,6,0.14350180505415158,stream
32,2014-02-26,276,2640.0000000000005,24,440.0,6,0.16666666666666663,stream
33,2014-02-27,276,2539.9999999999995,24,383.75,6,0.15108267716535434,stream
34,2014-02-28,276,2159.9999999999995,24,390.0000000000001,6,0.18055555555555564,stream
35,2014-03-01,276,2530.0000000000005,24,417.50000000000006,9,0.1650197628458498,stream
36,2014-03-04,276,2460.0000000000005,24,388.7499999999999,7,0.15802845528455278,stream
37,2014-03-05,276,2640.0,24,279.99999999999994,6,0.10606060606060605,stream
