,dates,hour_pt,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2014-01-02,276,1200.0,24,380.00000000000006,8,0.3166666666666667,stream
1,2014-01-03,276,1289.9999999999998,24,440.00000000000006,8,0.34108527131782956,stream
2,2014-01-07,276,2380.0,24,720.0,21,0.3025210084033614,stream
3,2014-01-08,276,2770.0,24,750.0,8,0.27075812274368233,stream
4,2014-01-09,276,2810.0,24,799.9999999999999,8,0.2846975088967971,stream
5,2014-01-10,276,2770.0,24,770.0,8,0.2779783393501805,stream
6,2014-01-11,276,2650.0,24,700.0,11,0.2641509433962264,stream
7,2014-01-14,276,2570.0,24,710.0,8,0.27626459143968873,stream
8,2014-01-15,276,2540.0,24,780.0,8,0.30708661417322836,stream
9,2014-01-16,276,2560.0000000000005,24,750.0,8,0.29296874999999994,stream
10,2014-01-17,276,2470.0000000000005,24,829.9999999999999,8,0.33603238866396756,stream
11,2014-01-18,276,3240.0,24,670.0000000000001,19,0.20679012345679015,stream
12,2014-01-23,276,2420.0,24,799.9999999999999,8,0.33057851239669417,stream
13,2014-01-24,276,2680.0000000000005,24,760.0,8,0.28358208955223874,stream
14,2014-01-25,276,2550.0,24,820.0000000000001,11,0.3215686274509804,stream
15,2014-01-28,276,2450.0,24,870.0,8,0.3551020408163265,stream
16,2014-01-29,276,2410.0000000000005,24,739.9999999999999,8,0.3070539419087136,stream
17,2014-01-30,276,2790.0,24,850.0000000000001,8,0.30465949820788535,stream
18,2014-01-31,276,2320.0000000000005,24,740.0,8,0.3189655172413793,stream
19,2014-02-01,276,3050.0,24,760.0000000000001,13,0.24918032786885247,stream
20,2014-02-04,276,2970.0,24,980.0000000000001,8,0.32996632996633,stream
21,2014-02-05,276,2700.0,24,1029.9999999999998,8,0.3814814814814814,stream
22,2014-02-06,276,2820.0,24,920.0,8,0.3262411347517731,stream
23,2014-02-07,276,2560.0,24,889.9999999999999,8,0.34765625,stream
24,2014-02-08,276,2959.999999999999,24,830.0,11,0.2804054054054055,stream
25,2014-02-11,276,2610.0,24,730.0000000000001,7,0.27969348659003834,stream
26,2014-02-12,276,2499.9999999999995,24,840.0,8,0.3360000000000001,stream
27,2014-02-13,276,2539.9999999999995,24,790.0,8,0.3110236220472441,stream
28,2014-02-14,276,2690.0,24,770.0,8,0.2862453531598513,stream
29,2014-02-15,276,2610.0,24,810.0,11,0.3103448275862069,stream
