,time stamp,date_pt,hour_pt,time_pt,var,value,site,vartype,dates,timestep_sum,timestep_minphr,gal in hr,Day,GPD
0,1/1/2014 0:00,41640.00,0,1/1/2014 0:00,GPM,0,stream,Flow (GPM),1/1/2014,1,60,0,41640.00,428.5714286
1,1/1/2014 1:00,41640.00,1,1/1/2014 1:00,GPM,10,stream,Flow (GPM),1/1/2014,1,60,600,41641.00,514.2857143
2,1/1/2014 2:00,41640.00,2,1/1/2014 2:00,GPM,10,stream,Flow (GPM),1/1/2014,1,60,600,41642.00,552.8571429
3,1/1/2014 3:00,41640.00,3,1/1/2014 3:00,GPM,0,stream,Flow (GPM),1/1/2014,1,60,0,41643.00,0
4,1/1/2014 4:00,41640.00,4,1/1/2014 4:00,GPM,0,stream,Flow (GPM),1/1/2014,1,60,0,41644.00,0
5,1/1/2014 5:00,41640.00,5,1/1/2014 5:00,GPM,0,stream,Flow (GPM),1/1/2014,1,60,0,41645.00,634.2857143
6,1/1/2014 6:00,41640.00,6,1/1/2014 6:00,GPM,0,stream,Flow (GPM),1/1/2014,1,60,0,41646.00,1020
7,1/1/2014 7:00,41640.00,7,1/1/2014 7:00,GPM,0,stream,Flow (GPM),1/1/2014,1,60,0,41647.00,1187.142857
8,1/1/2014 8:00,41640.00,8,1/1/2014 8:00,GPM,10,stream,Flow (GPM),1/1/2014,1,60,600,41648.00,1204.285714
9,1/1/2014 9:00,41640.00,9,1/1/2014 9:00,GPM,30,stream,Flow (GPM),1/1/2014,1,60,1800,41649.00,1187.142857
10,1/1/2014 10:00,41640.00,10,1/1/2014 10:00,GPM,20,stream,Flow (GPM),1/1/2014,1,60,1200,41650.00,1135.714286
11,1/1/2014 11:00,41640.00,11,1/1/2014 11:00,GPM,90,stream,Flow (GPM),1/1/2014,1,60,5400,41651.00,0
12,1/1/2014 12:00,41640.00,12,1/1/2014 12:00,GPM,120,stream,Flow (GPM),1/1/2014,1,60,7200,41652.00,0
13,1/1/2014 13:00,41640.00,13,1/1/2014 13:00,GPM,110,stream,Flow (GPM),1/1/2014,1,60,6600,41653.00,1101.428571
14,1/1/2014 14:00,41640.00,14,1/1/2014 14:00,GPM,90,stream,Flow (GPM),1/1/2014,1,60,5400,41654.00,1088.571429
15,1/1/2014 15:00,41640.00,15,1/1/2014 15:00,GPM,30,stream,Flow (GPM),1/1/2014,1,60,1800,41655.00,1097.142857
16,1/1/2014 16:00,41640.00,16,1/1/2014 16:00,GPM,50,stream,Flow (GPM),1/1/2014,1,60,3000,41656.00,1058.571429
17,1/1/2014 17:00,41640.00,17,1/1/2014 17:00,GPM,10,stream,Flow (GPM),1/1/2014,1,60,600,41657.00,1388.571429
18,1/1/2014 18:00,41640.00,18,1/1/2014 18:00,GPM,100,stream,Flow (GPM),1/1/2014,1,60,6000,41658.00,1225.714286
19,1/1/2014 19:00,41640.00,19,1/1/2014 19:00,GPM,50,stream,Flow (GPM),1/1/2014,1,60,3000,41659.00,1375.714286
20,1/1/2014 20:00,41640.00,20,1/1/2014 20:00,GPM,100,stream,Flow (GPM),1/1/2014,1,60,6000,41660.00,0
21,1/1/2014 21:00,41640.00,21,1/1/2014 21:00,GPM,100,stream,Flow (GPM),1/1/2014,1,60,6000,41661.00,0
22,1/1/2014 22:00,41640.00,22,1/1/2014 22:00,GPM,40,stream,Flow (GPM),1/1/2014,1,60,2400,41662.00,1037.142857
23,1/1/2014 23:00,41640.00,23,1/1/2014 23:00,GPM,30,stream,Flow (GPM),1/1/2014,1,60,1800,41663.00,1148.571429
24,1/2/2014 0:00,41641.00,0,1/2/2014 0:00,GPM,0,stream,Flow (GPM),1/2/2014,1,60,0,41664.00,1092.857143
25,1/2/2014 1:00,41641.00,1,1/2/2014 1:00,GPM,0,stream,Flow (GPM),1/2/2014,1,60,0,41665.00,1354.285714
26,1/2/2014 2:00,41641.00,2,1/2/2014 2:00,GPM,0,stream,Flow (GPM),1/2/2014,1,60,0,41666.00,1015.714286
27,1/2/2014 3:00,41641.00,3,1/2/2014 3:00,GPM,0,stream,Flow (GPM),1/2/2014,1,60,0,41667.00,1050
28,1/2/2014 4:00,41641.00,4,1/2/2014 4:00,GPM,0,stream,Flow (GPM),1/2/2014,1,60,0,41668.00,1032.857143
29,1/2/2014 5:00,41641.00,5,1/2/2014 5:00,GPM,10,stream,Flow (GPM),1/2/2014,1,60,600,41669.00,1195.714286
30,1/2/2014 6:00,41641.00,6,1/2/2014 6:00,GPM,60,stream,Flow (GPM),1/2/2014,1,60,3600,41670.00,994.2857143
31,1/2/2014 7:00,41641.00,7,1/2/2014 7:00,GPM,140,stream,Flow (GPM),1/2/2014,1,60,8400,41671.00,1307.142857
32,1/2/2014 8:00,41641.00,8,1/2/2014 8:00,GPM,170,stream,Flow (GPM),1/2/2014,1,60,10200,41672.00,1170
33,1/2/2014 9:00,41641.00,9,1/2/2014 9:00,GPM,70,stream,Flow (GPM),1/2/2014,1,60,4200,41673.00,1088.571429
34,1/2/2014 10:00,41641.00,10,1/2/2014 10:00,GPM,40,stream,Flow (GPM),1/2/2014,1,60,2400,41674.00,1272.857143
35,1/2/2014 11:00,41641.00,11,1/2/2014 11:00,GPM,30,stream,Flow (GPM),1/2/2014,1,60,1800,41675.00,1157.142857
36,1/2/2014 12:00,41641.00,12,1/2/2014 12:00,GPM,30,stream,Flow (GPM),1/2/2014,1,60,1800,41676.00,1208.571429
37,1/2/2014 13:00,41641.00,13,1/2/2014 13:00,GPM,10,stream,Flow (GPM),1/2/2014,1,60,600,41677.00,1097.142857
38,1/2/2014 14:00,41641.00,14,1/2/2014 14:00,GPM,0,stream,Flow (GPM),1/2/2014,1,60,0,41678.00,1268.571429
39,1/2/2014 15:00,41641.00,15,1/2/2014 15:00,GPM,0,stream,Flow (GPM),1/2/2014,1,60,0,41679.00,1341.428571
40,1/2/2014 16:00,41641.00,16,1/2/2014 16:00,GPM,60,stream,Flow (GPM),1/2/2014,1,60,3600,41680.00,1444.285714
