,dates,hour_pt,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2015-01-02,276,1539.9999999999998,24,450.0,8,0.29220779220779225,sunset
1,2015-01-03,276,1750.0,24,730.0000000000001,13,0.41714285714285715,sunset
2,2015-01-06,276,1980.0000000000005,24,830.0,7,0.4191919191919191,sunset
3,2015-01-07,276,2490.0,24,1100.0,10,0.44176706827309237,sunset
4,2015-01-08,276,1520.0000000000002,24,719.9999999999999,7,0.47368421052631565,sunset
5,2015-01-09,276,1660.0,24,730.0000000000001,8,0.43975903614457834,sunset
6,2015-01-10,276,2130.0,24,760.0000000000001,13,0.35680751173708924,sunset
7,2015-01-13,276,1750.0,24,840.0,7,0.48,sunset
8,2015-01-14,276,1819.9999999999998,24,790.0000000000001,7,0.4340659340659342,sunset
9,2015-01-15,276,1570.0,24,790.0,7,0.5031847133757962,sunset
10,2015-01-16,276,1410.0,24,660.0000000000001,7,0.4680851063829788,sunset
11,2015-01-17,276,1759.9999999999998,24,600.0,10,0.34090909090909094,sunset
12,2015-01-20,276,1460.0000000000005,24,780.0000000000001,7,0.5342465753424657,sunset
13,2015-01-21,276,1900.0,24,700.0000000000001,7,0.368421052631579,sunset
14,2015-01-22,276,1699.9999999999995,24,860.0,7,0.5058823529411767,sunset
15,2015-01-23,276,1590.0000000000002,24,750.0000000000001,7,0.4716981132075472,sunset
16,2015-01-24,276,1910.0000000000002,24,560.0,11,0.2931937172774869,sunset
17,2015-01-27,276,1869.9999999999998,24,800.0,7,0.4278074866310161,sunset
18,2015-01-28,276,1830.0,24,830.0,7,0.453551912568306,sunset
19,2015-01-29,276,1850.0000000000002,24,790.0,7,0.427027027027027,sunset
20,2015-01-30,276,1689.9999999999998,24,770.0,7,0.455621301775148,sunset
21,2015-01-31,276,2170.0000000000005,24,690.0,11,0.3179723502304147,sunset
22,2015-02-03,276,1660.0,24,720.0000000000001,7,0.4337349397590362,sunset
23,2015-02-04,276,1750.0,24,730.0,7,0.4171428571428571,sunset
24,2015-02-05,276,1680.0,24,760.0000000000001,8,0.45238095238095244,sunset
25,2015-02-06,276,1590.0,24,640.0000000000001,7,0.4025157232704403,sunset
26,2015-02-07,276,2000.0499999999997,24,640.0000000000001,15,0.3199920001999951,sunset
27,2015-02-10,276,1700.0000000000005,24,780.0,7,0.45882352941176463,sunset
28,2015-02-11,276,1430.0,24,760.0000000000001,7,0.5314685314685316,sunset
