,time stamp,date_pt,hour_pt,time_pt,var,value,site,vartype,dates,timestep_sum
0,2015-01-01 00:00:00,2015-01-01,0,2015-01-01 00:00:00,GPM,30.0,sunset,Flow (GPM),2015-01-01,1
1,2015-01-01 01:00:00,2015-01-01,1,2015-01-01 01:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-01,1
2,2015-01-01 02:00:00,2015-01-01,2,2015-01-01 02:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-01,1
3,2015-01-01 03:00:00,2015-01-01,3,2015-01-01 03:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-01,1
4,2015-01-01 04:00:00,2015-01-01,4,2015-01-01 04:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-01,1
5,2015-01-01 05:00:00,2015-01-01,5,2015-01-01 05:00:00,GPM,30.0,sunset,Flow (GPM),2015-01-01,1
6,2015-01-01 06:00:00,2015-01-01,6,2015-01-01 06:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-01,1
7,2015-01-01 07:00:00,2015-01-01,7,2015-01-01 07:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-01,1
8,2015-01-01 08:00:00,2015-01-01,8,2015-01-01 08:00:00,GPM,20.0,sunset,Flow (GPM),2015-01-01,1
9,2015-01-01 09:00:00,2015-01-01,9,2015-01-01 09:00:00,GPM,30.0,sunset,Flow (GPM),2015-01-01,1
10,2015-01-01 10:00:00,2015-01-01,10,2015-01-01 10:00:00,GPM,160.00000000000003,sunset,Flow (GPM),2015-01-01,1
11,2015-01-01 11:00:00,2015-01-01,11,2015-01-01 11:00:00,GPM,90.0,sunset,Flow (GPM),2015-01-01,1
12,2015-01-01 12:00:00,2015-01-01,12,2015-01-01 12:00:00,GPM,130.0,sunset,Flow (GPM),2015-01-01,1
13,2015-01-01 13:00:00,2015-01-01,13,2015-01-01 13:00:00,GPM,150.0,sunset,Flow (GPM),2015-01-01,1
14,2015-01-01 14:00:00,2015-01-01,14,2015-01-01 14:00:00,GPM,170.0,sunset,Flow (GPM),2015-01-01,1
15,2015-01-01 15:00:00,2015-01-01,15,2015-01-01 15:00:00,GPM,60.0,sunset,Flow (GPM),2015-01-01,1
16,2015-01-01 16:00:00,2015-01-02,16,2015-01-01 16:00:00,GPM,50.0,sunset,Flow (GPM),2015-01-01,1
17,2015-01-01 17:00:00,2015-01-02,17,2015-01-01 17:00:00,GPM,30.0,sunset,Flow (GPM),2015-01-01,1
18,2015-01-01 18:00:00,2015-01-02,18,2015-01-01 18:00:00,GPM,90.00000000000001,sunset,Flow (GPM),2015-01-01,1
19,2015-01-01 19:00:00,2015-01-02,19,2015-01-01 19:00:00,GPM,120.0,sunset,Flow (GPM),2015-01-01,1
20,2015-01-01 20:00:00,2015-01-02,20,2015-01-01 20:00:00,GPM,60.0,sunset,Flow (GPM),2015-01-01,1
21,2015-01-01 21:00:00,2015-01-02,21,2015-01-01 21:00:00,GPM,80.0,sunset,Flow (GPM),2015-01-01,1
22,2015-01-01 22:00:00,2015-01-02,22,2015-01-01 22:00:00,GPM,90.0,sunset,Flow (GPM),2015-01-01,1
23,2015-01-01 23:00:00,2015-01-02,23,2015-01-01 23:00:00,GPM,40.0,sunset,Flow (GPM),2015-01-01,1
24,2015-01-02 00:00:00,2015-01-02,0,2015-01-02 00:00:00,GPM,30.0,sunset,Flow (GPM),2015-01-02,1
25,2015-01-02 01:00:00,2015-01-02,1,2015-01-02 01:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-02,1
26,2015-01-02 02:00:00,2015-01-02,2,2015-01-02 02:00:00,GPM,10.0,sunset,Flow (GPM),2015-01-02,1
