,dates,value,timestep_sum,peak_volumes,peak_hours,peak_norm,site
0,2018-11-01,4788.856,24,1721.4020000000003,20,0.3594599628804876,yesler
1,2018-11-02,4057.3569999999995,24,1679.851052631579,8,0.4140259416737495,yesler
2,2018-11-03,4760.493746931619,24,1939.7420000000002,12,0.40746655769693274,yesler
3,2018-11-06,4709.124999999999,24,1671.163,8,0.3548776046505455,yesler
4,2018-11-07,4529.283,24,1610.543,7,0.355584537331847,yesler
5,2018-11-08,4412.553784921099,24,1709.8870000000002,7,0.3875050783161332,yesler
6,2018-11-09,4637.456631578948,24,1685.9650000000001,7,0.36355380415190375,yesler
7,2018-11-10,5151.596947368421,24,1949.913,11,0.3785065135959579,yesler
8,2018-11-13,5243.359315789473,24,1770.2289999999998,20,0.33761352091001284,yesler
9,2018-11-14,4738.433263157894,24,1714.2152631578947,20,0.3617683668748072,yesler
10,2018-11-15,4929.670000000001,24,1639.399,20,0.33255755456247565,yesler
11,2018-11-16,3976.927000000001,24,1559.3229999999996,8,0.3920924372008838,yesler
12,2018-11-17,4791.411789473684,24,1618.753,10,0.3378446835974858,yesler
13,2018-11-20,4494.155789473684,24,1630.264,7,0.3627519997901368,yesler
14,2018-11-21,4755.3245789473685,24,1726.4560000000001,8,0.36305744672893936,yesler
15,2018-11-23,4056.5970000000007,24,1376.901,11,0.3394226737336738,yesler
16,2018-11-24,4519.141263157895,24,1528.074,11,0.33813370970665546,yesler
17,2018-11-27,4888.569210526316,24,1855.1412105263157,21,0.3794855162389297,yesler
18,2018-11-28,4720.096,24,1610.2869999999998,7,0.3411555612428222,yesler
19,2018-11-29,4866.544,24,1849.086,8,0.3799587551247867,yesler
20,2018-11-30,4800.402842105263,24,1649.6319999999998,7,0.3436444928185523,yesler
21,2018-12-01,4962.20659672706,24,1649.409,11,0.33239426207846856,yesler
22,2018-12-04,5515.389,24,1989.593,21,0.36073484571985764,yesler
23,2018-12-05,5353.986000000001,24,1918.661,8,0.35836122843802726,yesler
24,2018-12-06,5173.8369999999995,24,1801.841,8,0.3482601017388062,yesler
25,2018-12-07,5162.997999999999,24,1701.2889999999998,8,0.3295157193553048,yesler
26,2018-12-08,5025.9563684210525,24,1778.9543684210528,11,0.35395340468901176,yesler
27,2018-12-11,4786.952578947369,24,1592.7585789473685,20,0.33272913250743114,yesler
28,2018-12-12,5178.166000000001,24,1688.6529999999998,20,0.32611024830026686,yesler
29,2018-12-13,5196.855315789474,24,1718.0383157894737,20,0.33059190825836565,yesler
30,2018-12-14,4795.622423728814,24,1770.795,8,0.36925238134638766,yesler
31,2018-12-15,4994.827,24,1800.204,12,0.36041368399746376,yesler
