,time stamp,time_pt,var,vartype,site,value,dates,timestep_sum
0,2019-07-10 00:00:00,2019-07-10 00:00:00,GPM,Flow (GPM),yesler,49.677,2019-07-10,1
1,2019-07-10 01:00:00,2019-07-10 01:00:00,GPM,Flow (GPM),yesler,20.0,2019-07-10,1
2,2019-07-10 02:00:00,2019-07-10 02:00:00,GPM,Flow (GPM),yesler,29.836000000000002,2019-07-10,1
3,2019-07-10 03:00:00,2019-07-10 03:00:00,GPM,Flow (GPM),yesler,10.0,2019-07-10,1
4,2019-07-10 04:00:00,2019-07-10 04:00:00,GPM,Flow (GPM),yesler,30.169,2019-07-10,1
5,2019-07-10 05:00:00,2019-07-10 05:00:00,GPM,Flow (GPM),yesler,120.179,2019-07-10,1
6,2019-07-10 06:00:00,2019-07-10 06:00:00,GPM,Flow (GPM),yesler,359.508,2019-07-10,1
7,2019-07-10 07:00:00,2019-07-10 07:00:00,GPM,Flow (GPM),yesler,439.031,2019-07-10,1
8,2019-07-10 08:00:00,2019-07-10 08:00:00,GPM,Flow (GPM),yesler,370.686,2019-07-10,1
9,2019-07-10 09:00:00,2019-07-10 09:00:00,GPM,Flow (GPM),yesler,229.677,2019-07-10,1
10,2019-07-10 10:00:00,2019-07-10 10:00:00,GPM,Flow (GPM),yesler,250.00500000000002,2019-07-10,1
11,2019-07-10 11:00:00,2019-07-10 11:00:00,GPM,Flow (GPM),yesler,169.841,2019-07-10,1
12,2019-07-10 12:00:00,2019-07-10 12:00:00,GPM,Flow (GPM),yesler,90.0,2019-07-10,1
13,2019-07-10 13:00:00,2019-07-10 13:00:00,GPM,Flow (GPM),yesler,100.0,2019-07-10,1
14,2019-07-10 14:00:00,2019-07-10 14:00:00,GPM,Flow (GPM),yesler,90.00500000000001,2019-07-10,1
15,2019-07-10 15:00:00,2019-07-10 15:00:00,GPM,Flow (GPM),yesler,199.508,2019-07-10,1
16,2019-07-10 16:00:00,2019-07-10 16:00:00,GPM,Flow (GPM),yesler,90.174,2019-07-10,1
17,2019-07-10 17:00:00,2019-07-10 17:00:00,GPM,Flow (GPM),yesler,130.343,2019-07-10,1
18,2019-07-10 18:00:00,2019-07-10 18:00:00,GPM,Flow (GPM),yesler,249.672,2019-07-10,1
19,2019-07-10 19:00:00,2019-07-10 19:00:00,GPM,Flow (GPM),yesler,280.70000000000005,2019-07-10,1
20,2019-07-10 20:00:00,2019-07-10 20:00:00,GPM,Flow (GPM),yesler,318.373,2019-07-10,1
21,2019-07-10 21:00:00,2019-07-10 21:00:00,GPM,Flow (GPM),yesler,329.241,2019-07-10,1
22,2019-07-10 22:00:00,2019-07-10 22:00:00,GPM,Flow (GPM),yesler,300.02000000000004,2019-07-10,1
23,2019-07-10 23:00:00,2019-07-10 23:00:00,GPM,Flow (GPM),yesler,249.687,2019-07-10,1
24,2019-07-11 00:00:00,2019-07-11 00:00:00,GPM,Flow (GPM),yesler,140.179,2019-07-11,1
25,2019-07-11 01:00:00,2019-07-11 01:00:00,GPM,Flow (GPM),yesler,50.0,2019-07-11,1
26,2019-07-11 02:00:00,2019-07-11 02:00:00,GPM,Flow (GPM),yesler,39.836000000000006,2019-07-11,1
27,2019-07-11 03:00:00,2019-07-11 03:00:00,GPM,Flow (GPM),yesler,20.0,2019-07-11,1
28,2019-07-11 04:00:00,2019-07-11 04:00:00,GPM,Flow (GPM),yesler,30.0,2019-07-11,1
29,2019-07-11 05:00:00,2019-07-11 05:00:00,GPM,Flow (GPM),yesler,121.49499999999999,2019-07-11,1
30,2019-07-11 06:00:00,2019-07-11 06:00:00,GPM,Flow (GPM),yesler,230.174,2019-07-11,1
31,2019-07-11 07:00:00,2019-07-11 07:00:00,GPM,Flow (GPM),yesler,359.697,2019-07-11,1
32,2019-07-11 08:00:00,2019-07-11 08:00:00,GPM,Flow (GPM),yesler,430.18199999999996,2019-07-11,1
33,2019-07-11 09:00:00,2019-07-11 09:00:00,GPM,Flow (GPM),yesler,250.01,2019-07-11,1
34,2019-07-11 10:00:00,2019-07-11 10:00:00,GPM,Flow (GPM),yesler,170.16899999999998,2019-07-11,1
35,2019-07-11 11:00:00,2019-07-11 11:00:00,GPM,Flow (GPM),yesler,89.672,2019-07-11,1
36,2019-07-11 12:00:00,2019-07-11 12:00:00,GPM,Flow (GPM),yesler,119.841,2019-07-11,1
37,2019-07-11 13:00:00,2019-07-11 13:00:00,GPM,Flow (GPM),yesler,90.0,2019-07-11,1
38,2019-07-11 14:00:00,2019-07-11 14:00:00,GPM,Flow (GPM),yesler,79.84100000000001,2019-07-11,1
39,2019-07-11 15:00:00,2019-07-11 15:00:00,GPM,Flow (GPM),yesler,126.49368421052633,2019-07-11,1
40,2019-07-11 16:00:00,2019-07-11 16:00:00,GPM,Flow (GPM),yesler,220.169,2019-07-11,1
41,2019-07-11 17:00:00,2019-07-11 17:00:00,GPM,Flow (GPM),yesler,219.513,2019-07-11,1
42,2019-07-11 18:00:00,2019-07-11 18:00:00,GPM,Flow (GPM),yesler,242.29368421052635,2019-07-11,1
43,2019-07-11 19:00:00,2019-07-11 19:00:00,GPM,Flow (GPM),yesler,340.179,2019-07-11,1
44,2019-07-11 20:00:00,2019-07-11 20:00:00,GPM,Flow (GPM),yesler,290.01,2019-07-11,1
45,2019-07-11 21:00:00,2019-07-11 21:00:00,GPM,Flow (GPM),yesler,330.18899999999996,2019-07-11,1
46,2019-07-11 22:00:00,2019-07-11 22:00:00,GPM,Flow (GPM),yesler,461.537,2019-07-11,1
47,2019-07-11 23:00:00,2019-07-11 23:00:00,GPM,Flow (GPM),yesler,240.005,2019-07-11,1
48,2019-07-12 00:00:00,2019-07-12 00:00:00,GPM,Flow (GPM),yesler,150.0,2019-07-12,1
49,2019-07-12 01:00:00,2019-07-12 01:00:00,GPM,Flow (GPM),yesler,40.0,2019-07-12,1
50,2019-07-12 02:00:00,2019-07-12 02:00:00,GPM,Flow (GPM),yesler,30.0,2019-07-12,1
51,2019-07-12 03:00:00,2019-07-12 03:00:00,GPM,Flow (GPM),yesler,20.0,2019-07-12,1
52,2019-07-12 04:00:00,2019-07-12 04:00:00,GPM,Flow (GPM),yesler,40.169,2019-07-12,1
53,2019-07-12 05:00:00,2019-07-12 05:00:00,GPM,Flow (GPM),yesler,89.841,2019-07-12,1
54,2019-07-12 06:00:00,2019-07-12 06:00:00,GPM,Flow (GPM),yesler,241.63500000000002,2019-07-12,1
55,2019-07-12 07:00:00,2019-07-12 07:00:00,GPM,Flow (GPM),yesler,450.021,2019-07-12,1
56,2019-07-12 08:00:00,2019-07-12 08:00:00,GPM,Flow (GPM),yesler,369.861,2019-07-12,1
57,2019-07-12 09:00:00,2019-07-12 09:00:00,GPM,Flow (GPM),yesler,229.37,2019-07-12,1
58,2019-07-12 10:00:00,2019-07-12 10:00:00,GPM,Flow (GPM),yesler,200.179,2019-07-12,1
59,2019-07-12 11:00:00,2019-07-12 11:00:00,GPM,Flow (GPM),yesler,180.005,2019-07-12,1
60,2019-07-12 12:00:00,2019-07-12 12:00:00,GPM,Flow (GPM),yesler,100.0,2019-07-12,1
61,2019-07-12 13:00:00,2019-07-12 13:00:00,GPM,Flow (GPM),yesler,139.836,2019-07-12,1
62,2019-07-12 14:00:00,2019-07-12 14:00:00,GPM,Flow (GPM),yesler,149.83599999999998,2019-07-12,1
63,2019-07-12 15:00:00,2019-07-12 15:00:00,GPM,Flow (GPM),yesler,199.836,2019-07-12,1
64,2019-07-12 16:00:00,2019-07-12 16:00:00,GPM,Flow (GPM),yesler,170.35000000000002,2019-07-12,1
65,2019-07-12 17:00:00,2019-07-12 17:00:00,GPM,Flow (GPM),yesler,219.672,2019-07-12,1
66,2019-07-12 18:00:00,2019-07-12 18:00:00,GPM,Flow (GPM),yesler,299.518,2019-07-12,1
67,2019-07-12 19:00:00,2019-07-12 19:00:00,GPM,Flow (GPM),yesler,225.072,2019-07-12,1
68,2019-07-12 20:00:00,2019-07-12 20:00:00,GPM,Flow (GPM),yesler,130.0,2019-07-12,1
69,2019-07-12 21:00:00,2019-07-12 21:00:00,GPM,Flow (GPM),yesler,299.856,2019-07-12,1
70,2019-07-12 22:00:00,2019-07-12 22:00:00,GPM,Flow (GPM),yesler,179.677,2019-07-12,1
71,2019-07-12 23:00:00,2019-07-12 23:00:00,GPM,Flow (GPM),yesler,210.179,2019-07-12,1
72,2019-07-13 00:00:00,2019-07-13 00:00:00,GPM,Flow (GPM),yesler,149.677,2019-07-13,1
73,2019-07-13 01:00:00,2019-07-13 01:00:00,GPM,Flow (GPM),yesler,140.507,2019-07-13,1
74,2019-07-13 02:00:00,2019-07-13 02:00:00,GPM,Flow (GPM),yesler,55.55555555555556,2019-07-13,1
75,2019-07-13 03:00:00,2019-07-13 03:00:00,GPM,Flow (GPM),yesler,20.0,2019-07-13,1
76,2019-07-13 04:00:00,2019-07-13 04:00:00,GPM,Flow (GPM),yesler,10.0,2019-07-13,1
77,2019-07-13 05:00:00,2019-07-13 05:00:00,GPM,Flow (GPM),yesler,50.169000000000004,2019-07-13,1
78,2019-07-13 06:00:00,2019-07-13 06:00:00,GPM,Flow (GPM),yesler,99.677,2019-07-13,1
79,2019-07-13 07:00:00,2019-07-13 07:00:00,GPM,Flow (GPM),yesler,239.841,2019-07-13,1
80,2019-07-13 08:00:00,2019-07-13 08:00:00,GPM,Flow (GPM),yesler,262.66736842105263,2019-07-13,1
81,2019-07-13 09:00:00,2019-07-13 09:00:00,GPM,Flow (GPM),yesler,210.184,2019-07-13,1
82,2019-07-13 10:00:00,2019-07-13 10:00:00,GPM,Flow (GPM),yesler,259.841,2019-07-13,1
